,,,,, شاخص‌های همکاری ,,,,, شاخص‌های رقابت,,,,,,,,,
,ققنوس,فینتک (بلاک چین),ارائه خدمات و محصولات مبتنی بر زنجیره بلوک (بلاکچین) و توکنیزه کردن دارایی میزبان های این شبکه,ارائه قراردادهای هوشمند بر بستر بلاکچین,7,8,9,8,1,4,3,10,7,4,6.6,5.6,🟢 شریک خالص,مشتری فعلی یا بالقوه / سرمایه‌گذار بالقوه / شریک زیرساختی / مکمل زنجیره ارزش / محرک تقاضا,
,آوای اطمینان,بازارهای مالی,ارائه راهکارهای آنلاین معاملات در بورس کالا و انرژی​​​​​​​​​​​​​​,,1,1,1,2,1,1,1,7,3,1,1.2,2.6,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
آپ و تاپ,,فینتک,ارائه خدمات در زمینه پرداخت‌های الكترونیک و پایانه های فروش ,ارائه سرویس های اشتراک لجستیک بر پایه کیف پول,5,7,7,7,3,3,2,9,7,3,5.8,4.8,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / سرمایه گذار بالقوه / زیرساخت جایگزین در زمان بحران / فرصت های توسعه بازار / همراستایی ضعیف بالقوه در آینده,
مکس,مکس امید,سرمایه گذاری خصوصی,سرمایه گذاری و ارائه حمایت های تخصصی در حوزه های مختلف کسب و کار برای شرکت های در حال توسعه,,3,10,10,6,1,2,1,7,10,8,6,5.6,⚪ بی‌تأثیر / غیرمرتبط,سرمایه گذار بالقوه / همراستایی ضعیف بالقوه در آینده,
,بیت مکس,فینتک,پلتفرم خرید و فروش و نگهداری ارزهای دیجیتال,,2,2,2,2,1,2,1,7,2,1,1.8,2.6,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,آدیلار,خدمات استخدام,ارائه خدمات آنلاین جذب و استخدام برای شرکت ها ,,7,2,1,3,1,1,1,1,1,1,2.8,1,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,جی مکس,سرگرمی,طراحی، ساخت و بهره برداری از پارک ها و وسایل سرگرمی هیجان انگیز ( مانند بانجی جامپینگ),,3,2,2,1,1,2,1,3,1,1,1.8,1.6,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,بارولاین,لجستیک,اعلام بار سراسری به رانندگان، صدور بارنامه هوشمند و ...,,6,7,5,6,2,3,3,7,5,5,5.2,4.6,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,چاپ آقا,چاپ و طراحی آنلاین,سفارش گذاری آنلاین طراحی و چاپ محصولات تبلیغاتی، بسته بندی و ...,,7,7,4,2,1,3,1,7,1,1,4.2,2.6,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,شیمی دانان ویرا,خدماتی-بازرگانی در حوزه آزمایشگاه‌های غیرطبی, ارائه خدمات فنی تخصصی (مشاوره، آموزش و آزمون مهارت) به آزمایشگاهها و تامین کننده مواد و کیت های مورد نیاز آزمایشگاه ها,,5,7,9,4,1,4,1,7,7,1,5.2,4,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / سرمایه گذار بالقوه / فرصت های توسعه بازار / همراستایی ضعیف بالقوه در آینده,
,ورانِگر,لجستیک - نرم‌افزارهای مدیریت پخش و توزیع,ارائه راهکارهای جامع برای شرکت های پخش,,7,7,8,7,1,4,3,7,8,7,6,5.8,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / سرمایه گذار بالقوه / زیرساخت جایگزین در زمان بحران / فرصت های توسعه بازار / همراستایی ضعیف بالقوه در آینده,
,ویراماینر,خدمات حوزه بلاکچین و رمز ارزها,طراحی، راه‌اندازی و نگهداری مزارع استخراج ارز دیجیتال و ارائه خدمات مرتبط مانند تعمیر و هاستینگ دستگاه‌های ماینر,,3,1,1,2,1,2,1,7,1,1,1.6,2.4,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,بتا سیستم,نرم افزارهای حوزه فناوری اطلاعات,مشاوره، پیاده‌سازی و پشتیبانی نرم‌افزارهای ERP مانند SAP Business One و ارائه راهکارهایی برای بهینه‌سازی فرآیندهای سازمانی ,,1,2,2,1,1,2,1,7,1,1,1.4,2.4,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,جیروکو,,,,1,1,1,1,1,1,1,1,1,1,1,1,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,مکس دنتال (مکس کلینیکس),دندان پزشکی,کلینیک های زنجیره ای دندان پزشکی با ارائه خدماتی چون نوبت‌دهی آنلاین، دسترسی ۲۴ ساعته به پرونده‌ها، تسهیلات مالی و ...,,3,2,2,1,1,3,1,7,1,1,1.8,2.6,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,ازکی,فناوری بیمه (اینشورتک),پلتفرم آنلاین مقایسه و خرید بیمه,,5,4,3,1,1,2,1,7,5,3,2.8,3.6,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,پلاک,اپلیکیشن ارائه خدمات خانگی,ارائه خدمات در محل مانند نظافت منزل، کارواش سیار، اسباب کشی و ...,Silver Economy,8,1,10,10,1,9,9,10,10,10,6,9.6,🔴 رقیب خالص,تهدید بازار / سرمایه‌گذار در رقبا / محرک توسعه داخلی / خطر ورود به بازار,
,خودرو 45,خرید و فروش خودرو,پلتفرم فروش آنی خودرو با ارائه کارشناسی,,3,2,4,1,1,1,1,7,1,1,2.2,2.2,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,اتوبان,خرید و فروش خودرو سنگین,خرید، فروش، کارشناسی و تسهیلات خودرو سنگین,تامین ناوگان,7,7,3,5,1,1,2,7,3,3,4.6,3.2,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,یوتوپین,فناوری گردشگری (تراول تک), پلتفرم آنلاین گردشگری با خدمات رزرو آنلاین تور، راهنمای سفر و ...,,5,5,6,3,1,2,1,7,2,1,4,2.6,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,wish work,پلتفرم فریلنسینگ و برونسپاری پروژه,پلتفرم برونسپاری پروژه ها در حوزه های مختلف مانند برنامه نویسی، طراحی، تولید محتوا و ...,,2,1,2,1,1,1,1,7,1,1,1.4,2.2,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
لیان,man,,,,1,1,1,1,1,1,1,1,1,1,1,1,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,آدریان,,,,1,1,1,1,1,1,1,1,1,1,1,1,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,homeka,,ارائه خدمات آزمایشگاهی در منزل,Silver Economy,7,7,7,7,1,5,5,8,5,5,5.8,5.6,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / سرمایه گذار بالقوه / زیرساخت جایگزین در زمان بحران / فرصت های توسعه بازار / همراستایی ضعیف بالقوه در آینده,
,هیلیا,,,,1,1,1,1,1,1,1,1,1,1,1,1,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,نیچرز پلنتی,مکمل های سلامت,تولید و واردات دارو، مکمل های غذایی و محصولات آرایشی و بهداشتی,,3,6,4,3,1,2,1,7,5,2,3.4,3.4,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,مهر گیاه,دمنوش های گیاهی,تولید دمنوش های گیاهی در بسته بندی های کیسه ای,,4,7,5,4,1,3,1,7,3,1,4.2,3,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,شیرین مهرآرا,محصولات غذایی سالم و نوآورانه,تولید محصولات غذایی مانند غلات صبحانه، چیپس میوه خشک و ...,,4,7,5,4,1,3,1,7,3,1,4.2,3,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,دکتر دکتر,فناوری سلامت,سامانه نوبت‌دهی و ارائه خدمات پزشکی آنلاین مانند مشاوره تلفنی، خرید دارو و ...,,5,9,9,7,1,5,5,7,6,7,6.2,6,⚪ بی‌تأثیر / غیرمرتبط,سرمایه گذار بالقوه / زیرساخت جایگزین در زمان بحران / همراستایی ضعیف بالقوه در آینده,
,دکتر ساینا,فناوری سلامت,پلتفرم ارائه خدمات مشاوره پزشکی آنلاین، آزمایش در محل، تست روانشناسی و ...,Silver Economy,5,9,9,7,1,5,5,7,6,7,6.2,6,⚪ بی‌تأثیر / غیرمرتبط,سرمایه گذار بالقوه / زیرساخت جایگزین در زمان بحران / همراستایی ضعیف بالقوه در آینده,
ارتباط فردا,قسطا,فینتک,پلتفرم ارائه دهنده وام های فوری و بدون ضامن و امکان خرید اقساطی از فروشگاههای طرف قرارداد,,5,7,4,2,1,4,2,7,5,4,3.8,4.4,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,تیمچه,تجارت الکترونیک (فروشگاه اینترنتی),فروشگاه اینترنتی (مارکت پلیس) همه نوع کالا,,7,10,5,5,1,6,2,7,7,5,5.6,5.4,⚪ بی‌تأثیر / غیرمرتبط,سرمایه گذار بالقوه,
,اتاقک,اقامتگاه,پلتفرم اجاره آنلاین اقامتگاه,,2,6,5,4,1,2,1,7,3,1,3.6,2.8,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,پابلا,فینتک,پلتفرم ارائه خدمات کپی تریدینگ در بازارهای ارزهای دیجیتال,,1,1,1,1,1,1,1,1,1,1,1,1,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,لندو,فینتک,پلتفرم ارائه دهنده وام بدون ضامن و امکان خرید اقساطی از فروشگاههای طرف قرارداد,,5,7,4,2,1,4,2,7,5,4,3.8,4.4,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,وندار,فینتک,ارائه راکارهای جامع پرداخت، تسویه و مدیریت مالی به کسب و کارها,,7,7,3,2,1,4,1,7,3,1,4,3.2,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,پینکت,تجارت الکترونیک (فروشگاه اینترنتی),خرید آنلاین اقلام سوپرمارکتی، میوه و سبزی و ... از فروشگاه‌های زنجیره‌ای مانند هایپرمی، شهروند و ... و تحویل حضوری درب منزل,,3,6,7,7,1,5,8,8,7,5,4.8,6.6,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / سرمایه گذار بالقوه / زیرساخت جایگزین در زمان بحران / فرصت های توسعه بازار / همراستایی ضعیف بالقوه در آینده,
,مدام,تولید وندینگ ماشین,تولید دستگاههای رباتیک، شروع با وندینگ ماشین قهوه و نوشیدنی های گرم و سرد,,3,3,5,5,1,4,3,7,4,2,3.4,4,⚪ بی‌تأثیر / غیرمرتبط,مشتری بالقوه آینده / فرصت های توسعه بازار,
,,,,,,,,,,,,,,,,,,#REF!,
,,,,,,,,,,,,,,,,,,#REF!,
