,,,,,,,"تصمیم‌سازان و تنظیم‌گران 
(Decision & Control Forces)",,,"بازیگران زنجیره ارزش 
(Value Chain Actors)",,,"جهت‌دهندگان بازار 
(Market Drivers)",,"توانمندسازان اکوسیستم 
(Ecosystem Enablers)",
,ونچران,سرمایه‌گذاری,,,,,,,,,,,,,,
,زرین رویا,خرده فروشی (فروشگاه‌های آنلاین),,,,,,,,,,,,,,
,خانومی,خرده فروشی (فروشگاه‌های آنلاین),,,,,,,,,,,,,,
,باسلام,خرده فروشی (بازارگاه‌ها),,,,,,,,,,,,,,
,شیپور,خرده فروشی (بازارگاه‌ها),,,,,,,,,,,,,,
,پیندو,خرده فروشی (بازارگاه‌ها),,,,,,,,,,,,,,
,دیوار,خرده فروشی (بازارگاه‌ها),,,,,,,,,,,,,,
,دیجی کالا,خرده فروشی (بازارگاه‌ها),,,,,,,,,,,,,,
,اسنپ شاپ,خرده فروشی (تجارت سریع),,,,,,,,,,,,,,
,اسنپ مارکت,خرده فروشی (تجارت سریع),,,,,,,,,,,,,,
,تپسی شاپ,خرده فروشی (تجارت سریع),,,,,,,,,,,,,,
,آپتایم,فناور,,,,,,,,,,,,,,
,نشان,فناور,,,,,,,,,,,,,,
,گنجه,فناور,,,,,,,,,,,,,,
,بلد,فناور,,,,,,,,,,,,,,
,لوجیتو,فناور,,,,,,,,,,,,,,
,آقای لجستیک,فناور,,,,,,,,,,,,,,
,بسته بندی هوشمند ویرا,فناور,,,,,,,,,,,,,,
,بارنت,فناور,,,,,,,,,,,,,,
,توزیکو,فناور,,,,,,,,,,,,,,
,کارپو,فناور,,,,,,,,,,,,,,
,جابار,فناور,,,,,,,,,,,,,,
,چابک,فناور,,,,,,,,,,,,,,
,شتابان شمال,باربری‌ها,,,,,,,,,,,,,,
,راه آسمان آبی,باربری‌ها,,,,,,,,,,,,,,
,قطاربار,حمل ریلی,,,,,,,,,,,,,,
,باکسیت,حمل ریلی (اپراتورها),,,,,,,,,,,,,,
,پست اول,حمل ریلی (اپراتورها),,,,,,,,,,,,,,
,شرکت ملی پست,حمل ریلی (اپراتورها),,,,,,,,,,,,,,
,دکاپست,حمل ریلی (اپراتورها),,,,,,,,,,,,,,
,پارسی پست,حمل ریلی (اپراتورها),,,,,,,,,,,,,,
,پیشرو پست,حمل ریلی (اپراتورها),,,,,,,,,,,,,,
,نقل حمل,رسانه,,,,,,,,,,,,,,
,کارنگ,رسانه,,,,,,,,,,,,,,
,ترابران,رسانه,,,,,,,,,,,,,,
,ادمیرال,هلدینگ,,,,,,,,,,,,,,
,هلدینگ فاخر,هلدینگ,,,,,,,,,,,,,,
,گروه اسنپ,هلدینگ,,,,,,,,,,,,,,
,هلدینگ مکس,هلدینگ,,,,,,,,,,,,,,
,گروه صنعتی گلرنگ,هلدینگ,,,,,,,,,,,,,,
,دکالجستیک,هلدینگ,,,,,,,,,,,,,,
,کارتن توحید,خدمات (چاپ و بسته‌بندی),,,,,,,,,,,,,,
,روتونیکس,خدمات (سورتینگ),,,,,,,,,,,,,,
,پستچی,کارگزاری‌ها,,,,,,,,,,,,,,
,تاپین,کارگزاری‌ها,,,,,,,,,,,,,,
,cod24,کارگزاری‌ها,,,,,,,,,,,,,,
,پادرو,کارگزاری‌ها,,,,,,,,,,,,,,
,ترابرنت,کارگزاری‌ها,,,,,,,,,,,,,,
,لوجیکو,کارگزاری‌ها,,,,,,,,,,,,,,
,پستکس,کارگزاری‌ها,,,,,,,,,,,,,,
,آمادست,کارگزاری‌ها,,,,,,,,,,,,,,
